"Date","Monthly average of yield from British Government Securities, 20 year Nominal Zero Coupon              [a]             IUMALNZC"
"30 Nov 24","4.8874"
"31 Oct 24","4.6898"
"30 Sep 24","4.4404"
"31 Aug 24","4.4591"
"31 Jul 24","4.6257"
"30 Jun 24","4.6147"
"31 May 24","4.6744"
"30 Apr 24","4.6798"
"31 Mar 24","4.4728"
"29 Feb 24","4.613"
"31 Jan 24","4.5014"
"31 Dec 23","4.3449"
"30 Nov 23","4.7193"
"31 Oct 23","5.021"
"30 Sep 23","4.7639"
"31 Aug 23","4.7286"
"31 Jul 23","4.549"
"30 Jun 23","4.5058"
"31 May 23","4.3599"
"30 Apr 23","4.0315"
"31 Mar 23","3.9874"
"28 Feb 23","3.9709"
"31 Jan 23","3.8758"
"31 Dec 22","3.8282"
"30 Nov 22","3.6592"
"31 Oct 22","4.3262"
"30 Sep 22","3.7587"
"31 Aug 22","2.7262"
"31 Jul 22","2.6763"
"30 Jun 22","2.7115"
"31 May 22","2.2259"
"30 Apr 22","2.0356"
"31 Mar 22","1.7799"
"28 Feb 22","1.6304"
"31 Jan 22","1.3885"
"31 Dec 21","1.0506"
"30 Nov 21","1.1506"
"31 Oct 21","1.4045"
"30 Sep 21","1.1721"
"31 Aug 21","1.0051"
"31 Jul 21","1.1065"
"30 Jun 21","1.3029"
"31 May 21","1.381"
"30 Apr 21","1.3151"
"31 Mar 21","1.3246"
"28 Feb 21","1.1389"
"31 Jan 21","0.8453"
"31 Dec 20","0.8043"
"30 Nov 20","0.8833"
"31 Oct 20","0.8009"
"30 Sep 20","0.7694"
"31 Aug 20","0.7667"
"31 Jul 20","0.6586"
"30 Jun 20","0.6859"
"31 May 20","0.6326"
"30 Apr 20","0.7304"
"31 Mar 20","0.8676"
"29 Feb 20","1.0581"
"31 Jan 20","1.1778"
"31 Dec 19","1.3002"
"30 Nov 19","1.2634"
"31 Oct 19","1.1131"
"30 Sep 19","1.0376"
"31 Aug 19","1.0839"
"31 Jul 19","1.3707"
"30 Jun 19","1.4746"
"31 May 19","1.6319"
"30 Apr 19","1.6955"
"31 Mar 19","1.6832"
"28 Feb 19","1.7459"
"31 Jan 19","1.8173"
"31 Dec 18","1.8494"
"30 Nov 18","1.9993"
"31 Oct 18","1.9948"
"30 Sep 18","1.9273"
"31 Aug 18","1.805"
"31 Jul 18","1.7735"
"30 Jun 18","1.8438"
"31 May 18","1.9071"
"30 Apr 18","1.8863"
"31 Mar 18","1.8895"
"28 Feb 18","2.0323"
"31 Jan 18","1.9157"
"31 Dec 17","1.8665"
"30 Nov 17","1.9388"
"31 Oct 17","2.0124"
"30 Sep 17","1.9149"
"31 Aug 17","1.8412"
"31 Jul 17","1.9725"
"30 Jun 17","1.8104"
"31 May 17","1.851"
"30 Apr 17","1.7913"
"31 Mar 17","1.9176"
"28 Feb 17","2.0181"
"31 Jan 17","2.0843"
"31 Dec 16","2.0959"
"30 Nov 16","2.0479"
"31 Oct 16","1.7455"
"30 Sep 16","1.4746"
"31 Aug 16","1.3688"
"31 Jul 16","1.6876"
"30 Jun 16","2.08"
"31 May 16","2.3307"
"30 Apr 16","2.3772"
"31 Mar 16","2.3516"
"29 Feb 16","2.3315"
"31 Jan 16","2.5365"
"31 Dec 15","2.6257"
"30 Nov 15","2.6877"
"31 Oct 15","2.5871"
"30 Sep 15","2.5495"
"31 Aug 15","2.5393"
"31 Jul 15","2.7496"
"30 Jun 15","2.7775"
"31 May 15","2.614"
"30 Apr 15","2.3498"
"31 Mar 15","2.4275"
"28 Feb 15","2.3573"
"31 Jan 15","2.2142"
"31 Dec 14","2.5983"
"30 Nov 14","2.8663"
"31 Oct 14","2.9377"
"30 Sep 14","3.1186"
"31 Aug 14","3.1375"
"31 Jul 14","3.3851"
"30 Jun 14","3.4849"
"31 May 14","3.4493"
"30 Apr 14","3.5082"
"31 Mar 14","3.5432"
"28 Feb 14","3.576"
"31 Jan 14","3.6438"